Country,Promille
Belgien,0.5
Bosnien-Herzegowina,0.3
Bulgarien,0.5
Dänemark,0.5
Deutschland,0.5
Estland,0.2
Finnland,0.5
Frankreich,0.5
Griechenland,0.5
Großbritannien,0.8
Irland,0.5
Island,0.5
Italien,0.5
Kroatien,0.5
Lettland,0.5
Liechtenstein,0.5
Litauen,0.4
Luxemburg,0.5
Malta,0.5
Mazedonien,0.5
Montenegro,0.3
Niederlande,0.5
Norwegen,0.2
Österreich,0.5
Polen,0.2
Portugal,0.5
Rumänien,0
Schweden,0.2
Schweiz,0.5
Serbien,0.5
Slowakei,0
Slowenien,0.5
Spanien,0.5
Tschechien,0
Türkei,0.5
Ungarn,0
Weißrussland,0.3
Zypern,0.5
